         1970505 function calls (1955392 primitive calls) in 100.404 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1155    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:58(__init__)
     3697    0.003    0.000    0.174    0.000 inspect.py:714(getabsfile)
      110    0.003    0.000    3.462    0.031 <frozen importlib._bootstrap_external>:1549(_fill_cache)
     1159    0.003    0.000   13.030    0.011 <frozen importlib._bootstrap_external>:1399(find_spec)
       89    0.003    0.000    0.036    0.000 utils.py:25(_toposort)
     1483    0.003    0.000    4.055    0.003 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.003    0.003    0.004    0.004 rpn.py:113(RegionProposalNetwork)
      106    0.003    0.000    1.195    0.011 <frozen importlib._bootstrap_external>:1317(_path_hooks)
      361    0.003    0.000    0.004    0.000 typing.py:219(_remove_dups_flatten)
      236    0.003    0.000    0.084    0.000 function.py:122(arity)
      236    0.003    0.000    0.106    0.000 function.py:162(__init__)
      123    0.003    0.000    0.064    0.001 _utils.py:95(kwonly_to_pos_or_kw)
     1174    0.003    0.000    0.033    0.000 <frozen importlib._bootstrap>:151(__exit__)
      110    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
     3966    0.003    0.000    0.006    0.000 <string>:1(__new__)
   214/92    0.003    0.000    0.198    0.002 sre_parse.py:435(_parse_sub)
     2243    0.003    0.000    0.003    0.000 {method 'rfind' of 'str' objects}
      582    0.003    0.000    0.003    0.000 typing.py:868(__new__)
        1    0.003    0.003    0.050    0.050 symbolic_opset9.py:1(<module>)
      770    0.003    0.000    0.004    0.000 sre_parse.py:355(_escape)
      556    0.003    0.000   42.826    0.077 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     2640    0.003    0.000    0.062    0.000 tokenize.py:98(_compile)
     2312    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
     1394    0.003    0.000    0.004    0.000 typing_extensions.py:1364(get_origin)
        1    0.003    0.003    0.003    0.003 polytools.py:105(Poly)
      441    0.003    0.000    0.279    0.001 basic.py:182(__init_subclass__)
      390    0.003    0.000    0.003    0.000 {method 'translate' of 'str' objects}
      142    0.003    0.000    0.020    0.000 typing.py:677(__getitem__)
        1    0.002    0.002    1.424    1.424 allowed_functions.py:176(gen_allowed_objs_and_ids)
       14    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
     1155    0.002    0.000    0.003    0.000 enum.py:22(_is_dunder)
      140    0.002    0.000    0.024    0.000 typing.py:818(__getitem_inner__)
      106    0.002    0.000    0.736    0.007 <frozen zipimport>:63(__init__)
      213    0.002    0.000    0.003    0.000 ctx_mp_python.py:1014(_wrap_specfun)
     3460    0.002    0.000    0.003    0.000 facts.py:633(<genexpr>)
      151    0.002    0.000    0.005    0.000 enum.py:579(_find_new_)
      308    0.002    0.000    0.003    0.000 enum.py:543(_find_data_type)
        1    0.002    0.002    0.002    0.002 __init__.py:330(<listcomp>)
        1    0.002    0.002    0.003    0.003 _codata.py:1514(parse_constants_2018toXXXX)
     1236    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      814    0.002    0.000    0.003    0.000 {method 'extend' of 'list' objects}
        3    0.002    0.001    0.006    0.002 inspect.py:325(getmembers)
      426    0.002    0.000    0.003    0.000 libmpf.py:291(from_man_exp)
     3227    0.002    0.000    0.002    0.000 {built-in method from_bytes}
       12    0.002    0.000    0.002    0.000 {built-in method torch._C._jit_get_operation}
     1155    0.002    0.000    0.002    0.000 enum.py:33(_is_sunder)
      577    0.002    0.000    0.011    0.000 registration.py:213(register)
    11798    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     1080    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
     3686    0.002    0.000    0.003    0.000 inspect.py:80(ismethod)
     3681    0.002    0.000    0.003    0.000 inspect.py:246(isframe)
       89    0.002    0.000    0.118    0.001 conflict.py:56(ordering)
      631    0.002    0.000    0.219    0.000 inspect.py:2851(from_callable)
      142    0.002    0.000    0.014    0.000 typing.py:187(_subs_tvars)
       92    0.002    0.000    0.265    0.003 sre_compile.py:759(compile)
     3678    0.002    0.000    0.003    0.000 inspect.py:260(iscode)
     1174    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:143(__init__)
     3685    0.002    0.000    0.003    0.000 inspect.py:236(istraceback)
      120    0.002    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
      759    0.002    0.000    0.002    0.000 {method 'update' of 'set' objects}
      7/6    0.002    0.000    1.426    0.238 allowed_functions.py:67(__call__)
      109    0.002    0.000    0.012    0.000 cache.py:66(func_wrapper)
     3462    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
        1    0.002    0.002    1.806    1.806 builder.py:1(<module>)
      693    0.002    0.000    0.002    0.000 dataclasses.py:244(__init__)
        8    0.002    0.000    0.002    0.000 {method 'readlines' of '_io._IOBase' objects}
       67    0.002    0.000    0.002    0.000 {built-in method _abc._abc_init}
     1394    0.002    0.000    0.006    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
      282    0.002    0.000    0.024    0.000 typing.py:689(copy_with)
     1746    0.002    0.000    0.002    0.000 typing.py:329(__hash__)
      716    0.002    0.000    0.002    0.000 dataclasses.py:414(_field_init)
      577    0.002    0.000    0.006    0.000 registration.py:135(__init__)
       10    0.002    0.000    0.003    0.000 inspect.py:1102(getfullargspec)
     4124    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
      308    0.002    0.000    0.004    0.000 enum.py:532(_get_mixins_)
       92    0.002    0.000    0.201    0.002 sre_parse.py:937(parse)
      693    0.002    0.000    0.003    0.000 dataclasses.py:320(field)
     1159    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:800(find_spec)
     2134    0.002    0.000    0.002    0.000 {built-in method builtins.min}
        3    0.002    0.001    0.002    0.001 {method 'AddSerializedFile' of 'google._upb._message.DescriptorPool' objects}
     1678    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
      123    0.002    0.000    0.083    0.001 _utils.py:170(outer_wrapper)
      252    0.002    0.000    0.002    0.000 posixpath.py:71(join)
      118    0.001    0.000    0.002    0.000 typing.py:900(__init_subclass__)
       14    0.001    0.000    0.002    0.000 library.py:112(impl)
      577    0.001    0.000    0.001    0.000 registration.py:267(onnx_symbolic)
      145    0.001    0.000    0.005    0.000 dataclasses.py:356(_recursive_repr)
        2    0.001    0.001    0.019    0.010 sets.py:1(<module>)
     1159    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
     3835    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
       69    0.001    0.000    0.006    0.000 inspect.py:3057(__str__)
       33    0.001    0.000    0.021    0.001 inspect.py:1898(_signature_strip_non_python_syntax)
    27/19    0.001    0.000    0.002    0.000 builder.py:57(BuildMessage)
     2034    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       32    0.001    0.000    0.150    0.005 posixpath.py:396(_joinrealpath)
     2045    0.001    0.000    0.002    0.000 typing.py:324(__eq__)
      106    0.001    0.000    0.455    0.004 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
       89    0.001    0.000    0.002    0.000 utils.py:83(groupby)
    82/41    0.001    0.000    0.003    0.000 sorting.py:10(default_sort_key)
       11    0.001    0.000    0.001    0.000 _ops.py:468(__init__)
     1164    0.001    0.000    0.001    0.000 dataclasses.py:595(_is_classvar)
     1638    0.001    0.000    0.002    0.000 allowed_functions.py:328(<genexpr>)
     1119    0.001    0.000    0.013    0.000 typing.py:358(<genexpr>)
      236    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     2251    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      284    0.001    0.000    0.004    0.000 _normalizations.py:197(normalizer_inner)
      330    0.001    0.000    0.002    0.000 dataclasses.py:342(_tuple_str)
     1394    0.001    0.000    0.001    0.000 typing_extensions.py:162(_should_collect_from_parameters)
      770    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      157    0.001    0.000    0.004    0.000 functools.py:525(decorating_function)
     1444    0.001    0.000    0.002    0.000 sre_parse.py:249(match)
     2041    0.001    0.000    0.001    0.000 typing.py:669(<genexpr>)
      172    0.001    0.000    0.001    0.000 decorator.py:178(public)
